metric,SUM_mean,SUM_ci_lo,SUM_ci_hi,NASH_mean,NASH_ci_lo,NASH_ci_hi,JAM_mean,JAM_ci_lo,JAM_ci_hi
all_gini,0.5777824196053559,0.5537118382400598,0.6018530009706521,0.5777824196053559,0.5537118382400598,0.6018530009706521,0.5777824196053559,0.5537118382400598,0.6018530009706521
worker_min,2.9887428482856353,2.4412764111571716,3.536209285414099,2.9887428482856353,2.4412764111571716,3.536209285414099,2.9887428482856353,2.4412764111571716,3.536209285414099
worker_mean,143.72945585955802,117.75606872777686,169.70284299133917,143.72945585955802,117.75606872777686,169.70284299133917,143.72945585955802,117.75606872777686,169.70284299133917
worker_top10_share,0.36025781735191054,0.3337755789856231,0.386740055718198,0.36025781735191054,0.3337755789856231,0.386740055718198,0.36025781735191054,0.3337755789856231,0.386740055718198
agency_floor,0.016196251335842286,0.015011216589060256,0.017381286082624316,0.016196251335842286,0.015011216589060256,0.017381286082624316,0.016196251335842286,0.015011216589060256,0.017381286082624316
agency_mean,6.281857666742116,5.900774019668177,6.662941313816056,6.281857666742116,5.900774019668177,6.662941313816056,6.281857666742116,5.900774019668177,6.662941313816056
unemployment_rate,0.9004035824297117,0.8026818655782731,0.9981252992811503,0.9004035824297117,0.8026818655782731,0.9981252992811503,0.9004035824297117,0.8026818655782731,0.9981252992811503
hhi,0.28966332312882165,0.04261873456553647,0.5367079116921069,0.28966332312882165,0.04261873456553647,0.5367079116921069,0.28966332312882165,0.04261873456553647,0.5367079116921069
top_firm_share,0.3346637916511944,0.06671787181833955,0.6026097114840493,0.3346637916511944,0.06671787181833955,0.6026097114840493,0.3346637916511944,0.06671787181833955,0.6026097114840493
n_active_cartels,0.2,-0.10162095503976065,0.5016209550397607,0.2,-0.10162095503976065,0.5016209550397607,0.2,-0.10162095503976065,0.5016209550397607
total_rent_collected,260.0466039258886,219.58266509190867,300.5105427598685,260.0466039258886,219.58266509190867,300.5105427598685,260.0466039258886,219.58266509190867,300.5105427598685
total_debt,4131.592017886721,3637.42922207798,4625.754813695462,4131.592017886721,3637.42922207798,4625.754813695462,4131.592017886721,3637.42922207798,4625.754813695462
fraction_in_debt,0.021961077500511662,0.0166862183320932,0.027235936668930125,0.021961077500511662,0.0166862183320932,0.027235936668930125,0.021961077500511662,0.0166862183320932,0.027235936668930125
frac_monopoly,0.49066666666666664,0.28279849472991747,0.6985348386034158,0.49066666666666664,0.28279849472991747,0.6985348386034158,0.49066666666666664,0.28279849472991747,0.6985348386034158
frac_cartel,0.30133333333333334,0.03382428165783968,0.568842385008827,0.30133333333333334,0.03382428165783968,0.568842385008827,0.30133333333333334,0.03382428165783968,0.568842385008827
frac_poverty_trap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
terminal_worker_min,3.167236457111754,1.7719389529012477,4.562533961322261,3.167236457111754,1.7719389529012477,4.562533961322261,3.167236457111754,1.7719389529012477,4.562533961322261
terminal_agency_floor,0.017328545347380424,0.014759947964034943,0.019897142730725903,0.017328545347380424,0.014759947964034943,0.019897142730725903,0.017328545347380424,0.014759947964034943,0.019897142730725903
terminal_all_gini,0.573528519991531,0.5472202560857867,0.5998367838972752,0.573528519991531,0.5472202560857867,0.5998367838972752,0.573528519991531,0.5472202560857867,0.5998367838972752
