all_gini,all_min,all_mean,all_top10_share,worker_gini,worker_min,worker_mean,worker_top1_share,worker_top5_share,worker_top10_share,wealth_power_law_alpha,hhi,top_firm_share,n_active_cartels,unemployment_rate,mean_wage,total_rent_collected,total_debt,fraction_in_debt,debt_gini,agency_floor,agency_mean,trade_density,trade_max_centrality,planner_ubi,planner_min_wage,planner_tax_worker,planner_tax_firm,monopoly_detected,cartel_detected,poverty_trap_detected,frac_monopoly,frac_cartel,frac_poverty_trap,terminal_n_workers,terminal_all_gini,terminal_worker_min,terminal_agency_floor,objective,seed,episode_id,n_steps,n_workers_final,n_firms_final
0.5919976705390667,2.434479537848746,167.13790583666415,0.4858257193260834,0.494922995429296,2.434479537848746,123.11815393754817,0.10092695262325234,0.2413366850127899,0.35976570145035036,1.569478571992317,0.0,0.0,0.0,1.0,0.0,218.7153087561039,4641.638062724917,0.02098478895263841,0.15716391331943919,0.012679527547846165,5.7619873504903785,0.0,0.0,0.0,1.0242196807483281,0.05000000000000002,0.09588254601212061,0.0,0.0,0.0,0.24,0.0,0.0,228,0.5890059739451221,3.4496424380430133,0.010270881365888097,SUM,0,0,150,228,0
0.5741545506552829,2.1191664818319174,191.55472895988606,0.42296545728658363,0.5247423224185416,2.423193500690766,157.90942532070997,0.07182997264961485,0.2336297450459356,0.36267250132268336,2.1190366117850488,0.5125095480629207,0.5788650065604255,0.0,0.7662466300946156,1.6966487152109806,191.56412708623267,3441.77790637444,0.020502817532612308,0.13162703252655467,0.017161589728163396,6.240603993450322,0.0,0.0,0.0,1.0,0.04910369296345293,0.10000000000000003,1.0,0.0,0.0,0.7266666666666667,0.20666666666666667,0.0,242,0.5710005859679247,0.1737413678894839,0.02136477257114908,SUM,1,1,150,242,2
0.5514833134587438,2.674175414169842,136.49932537837645,0.42394345037667325,0.513810763928548,2.674175414169842,115.52645632174156,0.1026610300288571,0.2514945217102161,0.37529653384587003,1.9341627961033574,0.0,0.0,0.0,1.0,0.0,208.99813539110784,4619.378965574593,0.02268351129954369,0.1444356173889272,0.016499568100608368,5.905509721754101,0.0,0.0,0.0003853938669466638,0.9746222970367796,0.04976340051837001,0.10000000000000003,0.0,0.0,0.0,0.12,0.02666666666666667,0.0,245,0.5474850108825146,2.2960737669733313,0.014679447209541252,SUM,2,2,150,245,0
0.526390940379915,3.05113992086476,136.1373814662712,0.394595934428227,0.4541087562675716,3.05113992086476,111.25455302810614,0.06976694039262053,0.1880634914042418,0.3001123749516216,1.9362332600588086,0.0,0.0,0.0,1.0,0.0,280.48326116937005,4516.958533464806,0.02603043721725868,0.1788383948310564,0.01550822178437057,6.053418095417341,0.0,0.0,0.0,1.030343129575005,0.05077444361413595,0.1003895166582059,0.0,0.0,0.0,0.08,0.26,0.0,248,0.5073562827714589,6.09570448010504,0.018416390123685938,SUM,3,3,150,248,0
0.5854963758183999,1.9334656690778682,144.55349727204703,0.45756090357163076,0.5366563420564389,1.9334656690778682,115.85404573940687,0.10847074654968594,0.276872164315957,0.3967257462265844,1.5366089841159223,0.0,0.0,0.0,1.0,0.0,367.89317922094125,4990.092128232168,0.03797575992911633,0.1572142209072008,0.014386273917943624,5.58780511593829,0.0,0.0,0.0,0.977728820299749,0.05000000000000002,0.09975012107436945,0.0,0.0,0.0,0.4533333333333333,0.0,0.0,226,0.5811647051696535,1.3275452400572534,0.014829465189855161,SUM,4,4,150,226,0
0.6292026197641233,3.934732676814139,188.16689970362236,0.5399323985643635,0.48005265110957135,3.934732676814139,124.88843126301445,0.08058828763788813,0.22871740631660872,0.3493754429841865,1.3588519201144087,1.0,1.0,0.0,0.9621969026936055,1.9309592096640893,337.91020296454434,3105.1322694025102,0.02014795864513933,0.12868400328644117,0.016673748183861834,6.277542080837681,0.0,0.0,0.0,1.0048859709970566,0.050042940184284554,0.09992023924171671,1.0,0.0,0.0,0.82,0.11333333333333333,0.0,251,0.6271493666667958,3.2780508632326217,0.016822208033802973,SUM,5,5,150,251,1
0.6087614732868537,0.3719879785910039,239.41426096893255,0.46141394662844626,0.5550751954558444,3.389073710917402,199.2253039214598,0.08155902122774049,0.2412795879886296,0.3917196953430819,1.932843164687699,0.4268444807041225,0.5682893906528529,1.0,0.7717600145249772,1.188285013268778,221.91608677507847,3756.2910418920237,0.016250385946773065,0.14910505016651526,0.017456630488153393,6.700054067013892,0.0,0.0,1.908678107401481e-05,1.0,0.048551662975417735,0.10146589316430309,1.0,1.0,0.0,0.7133333333333334,0.96,0.0,300,0.610293766186117,5.047741992537377,0.017735545818658112,SUM,6,6,150,300,3
0.5825034775642874,2.829173958834312,160.02608231250042,0.4624897944908923,0.482607638273462,2.829173958834312,119.98256912498327,0.07162067547941355,0.21280159881916844,0.32876723414424297,1.5782203349145512,0.0,0.0,0.0,1.0,0.0,246.0100195179003,4264.265466613749,0.023612038980429413,0.1694889303216937,0.016826709926402315,6.11670901388066,0.0,0.0,0.0,0.9821185502399103,0.05079439773087414,0.10323576222717859,0.0,0.0,0.0,0.2733333333333333,0.12,0.0,282,0.5841309668856889,1.255840186316128,0.0164183221665826,SUM,7,7,150,282,0
0.5280567108228635,2.031798457196114,236.81500053779408,0.35904015319051386,0.4983316377626326,4.497159680642452,209.7145838085295,0.056981984248664956,0.19011008877110322,0.31957826767476266,2.8164691237059025,0.4102291760772837,0.5484840404000352,1.0,0.6179577127842294,1.5005991866813795,265.23060882871346,3221.0293129153442,0.008784088286072385,0.09093417727617038,0.018506807522215882,7.318108354762544,0.0,0.0,0.0,1.0,0.05133975784690708,0.09801354931657966,1.0,1.0,0.0,0.6933333333333334,1.0,0.0,308,0.5269039281263765,3.286574738245168,0.02224063446149147,SUM,8,8,150,308,3
0.5997770637640222,1.097615771237824,193.17549340031897,0.47804380051696693,0.5539319082359043,2.7208344129960707,159.8210361300803,0.06675589603947825,0.26531671876826196,0.41856467557572097,1.589462836993035,0.54705002644389,0.6509994788986309,0.0,0.8858745641996907,1.315983322930076,261.7451095488931,4759.356491672653,0.02263898821553301,0.1684228889020263,0.016263436158857333,6.856838873875952,0.0,0.0,0.0,1.0,0.05000000000000002,0.09400482254657574,1.0,0.0,0.0,0.7866666666666666,0.32666666666666666,0.0,261,0.5907946133136572,5.461449497718126,0.02050778653314958,SUM,9,9,150,261,2
0.5919976705390667,2.434479537848746,167.13790583666415,0.4858257193260834,0.494922995429296,2.434479537848746,123.11815393754817,0.10092695262325234,0.2413366850127899,0.35976570145035036,1.569478571992317,0.0,0.0,0.0,1.0,0.0,218.7153087561039,4641.638062724917,0.02098478895263841,0.15716391331943919,0.012679527547846165,5.7619873504903785,0.0,0.0,0.0,1.0242196807483281,0.05000000000000002,0.09588254601212061,0.0,0.0,0.0,0.24,0.0,0.0,228,0.5890059739451221,3.4496424380430133,0.010270881365888097,NASH,0,10,150,228,0
0.5741545506552829,2.1191664818319174,191.55472895988606,0.42296545728658363,0.5247423224185416,2.423193500690766,157.90942532070997,0.07182997264961485,0.2336297450459356,0.36267250132268336,2.1190366117850488,0.5125095480629207,0.5788650065604255,0.0,0.7662466300946156,1.6966487152109806,191.56412708623267,3441.77790637444,0.020502817532612308,0.13162703252655467,0.017161589728163396,6.240603993450322,0.0,0.0,0.0,1.0,0.04910369296345293,0.10000000000000003,1.0,0.0,0.0,0.7266666666666667,0.20666666666666667,0.0,242,0.5710005859679247,0.1737413678894839,0.02136477257114908,NASH,1,11,150,242,2
0.5514833134587438,2.674175414169842,136.49932537837645,0.42394345037667325,0.513810763928548,2.674175414169842,115.52645632174156,0.1026610300288571,0.2514945217102161,0.37529653384587003,1.9341627961033574,0.0,0.0,0.0,1.0,0.0,208.99813539110784,4619.378965574593,0.02268351129954369,0.1444356173889272,0.016499568100608368,5.905509721754101,0.0,0.0,0.0003853938669466638,0.9746222970367796,0.04976340051837001,0.10000000000000003,0.0,0.0,0.0,0.12,0.02666666666666667,0.0,245,0.5474850108825146,2.2960737669733313,0.014679447209541252,NASH,2,12,150,245,0
0.526390940379915,3.05113992086476,136.1373814662712,0.394595934428227,0.4541087562675716,3.05113992086476,111.25455302810614,0.06976694039262053,0.1880634914042418,0.3001123749516216,1.9362332600588086,0.0,0.0,0.0,1.0,0.0,280.48326116937005,4516.958533464806,0.02603043721725868,0.1788383948310564,0.01550822178437057,6.053418095417341,0.0,0.0,0.0,1.030343129575005,0.05077444361413595,0.1003895166582059,0.0,0.0,0.0,0.08,0.26,0.0,248,0.5073562827714589,6.09570448010504,0.018416390123685938,NASH,3,13,150,248,0
0.5854963758183999,1.9334656690778682,144.55349727204703,0.45756090357163076,0.5366563420564389,1.9334656690778682,115.85404573940687,0.10847074654968594,0.276872164315957,0.3967257462265844,1.5366089841159223,0.0,0.0,0.0,1.0,0.0,367.89317922094125,4990.092128232168,0.03797575992911633,0.1572142209072008,0.014386273917943624,5.58780511593829,0.0,0.0,0.0,0.977728820299749,0.05000000000000002,0.09975012107436945,0.0,0.0,0.0,0.4533333333333333,0.0,0.0,226,0.5811647051696535,1.3275452400572534,0.014829465189855161,NASH,4,14,150,226,0
